Field of Specialisation,Module(s)
Biomedical Engineering,"EE1040-Electrical FundamentalsMA1014-Mathematics"
Chemical & Process Engineering,"ME1033-MechanicsMA1014-Mathematics"
Civil Engineering,"CE1023-Fluid Mechanics,ME1033-Mechanics"
Computer Science & Engineering,"CS1033-Programming Fundamentals,MA1014-Mathematics"
Electrical Engineering,"EE1040-Electrical FundamentalsMA1014-Mathematics"
"Electronic & TelecommunicationEngineering","EE1040-Electrical Fundamentals,MA1014-Mathematics"
Materials Science & Engineering,"MT1023-Properties of Materials,ME1033-Mechanics"
Mechanical Engineering,"ME1033-MechanicsMA1014-Mathematics"
