,Index No.,Mech,CS,Fluid,Maths,Material,Electric,SGPA,Rank
106,210125B,B+,A,A+,C+,A,A-,3.492857142857143,50.0
129,210149C,A-,A,A,C+,A,B+,3.492857142857143,50.0
218,210246V,A,B,A,B+,A-,B+,3.492857142857143,50.0
175,210201F,A,A,A+,C+,A-,B+,3.492857142857143,50.0
494,210545L,A-,B,A+,B,A-,A,3.4857142857142853,51.0
211,210237U,A,B+,A,C+,A,A,3.4857142857142853,51.0
554,210614A,A-,A-,A-,B-,A-,A-,3.4857142857142853,51.0
564,210626L,B+,A-,A,B,B+,A-,3.4785714285714286,52.0
645,210721A,A,A-,B,B,A,B+,3.4785714285714286,52.0
608,210673C,B+,A-,A,B,A+,B,3.4785714285714286,52.0
402,210445F,A,B+,A+,B-,A,B+,3.4714285714285715,53.0
78,210090K,B+,B+,A,B-,A,A,3.4714285714285715,53.0
44,210049U,A+,B+,A,B-,B+,A,3.4714285714285715,53.0
142,210166B,A,B-,A,B+,B+,A,3.4714285714285715,53.0
168,210194H,B,A-,A-,B-,A,A,3.4714285714285715,53.0
247,210277P,A,A-,A+,C+,A,B+,3.4714285714285715,53.0
45,210049U,A+,B+,A,B-,B+,A,3.4714285714285715,53.0
477,210528M,A-,B+,A-,B+,B,A,3.471428571428571,54.0
459,210506U,A-,A-,A,C,A,A,3.4642857142857144,55.0
625,210696A,A,B,A-,B-,A,A,3.4642857142857144,55.0
354,210394V,A-,B+,A-,B,A-,A-,3.464285714285714,56.0
202,210229X,B+,A-,A+,B-,A,B+,3.4571428571428577,57.0
545,210603N,A,B+,A-,B+,B+,B+,3.457142857142857,58.0
601,210666H,B-,A-,A,B,A-,A-,3.4499999999999997,59.0
567,210630T,A,B+,A+,B,A,B-,3.4499999999999997,59.0
335,210374K,A-,B+,B+,B,A,A-,3.4499999999999997,59.0
438,210485C,A-,A,A,C+,B+,A-,3.4499999999999997,59.0
439,210486F,A,A,B+,C+,A-,A-,3.4499999999999997,59.0
10,210010T,A-,A,B+,C+,A,A-,3.4499999999999997,59.0
660,210740F,A-,A-,A-,B,A-,B,3.4499999999999997,59.0
432,210480G,A-,B,B+,B+,A,A-,3.4499999999999997,59.0
105,210122M,A,B+,A,C+,A,A-,3.4428571428571426,60.0
118,210138R,A,B+,A,C+,A-,A,3.4428571428571426,60.0
119,210138R,A,B+,A,C+,A-,A,3.4428571428571426,60.0
83,210096J,A,A,B+,C+,A,B+,3.435714285714286,61.0
59,210066T,B+,A-,B+,B,A-,A-,3.435714285714286,61.0
480,210531P,B+,A-,B-,B,A,A,3.435714285714286,61.0
473,210521K,A-,A,B+,B-,A,B,3.435714285714286,61.0
147,210171K,A,B+,A,B,B+,B+,3.435714285714286,61.0
111,210130K,A-,B,A,B,A,B+,3.4285714285714284,62.0
337,210376T,B,B+,A,B-,A+,A,3.4285714285714284,62.0
409,210452A,A-,A-,A,B-,B,A-,3.4285714285714284,62.0
360,210402X,A+,B,A,B,B+,A-,3.4285714285714284,62.0
170,210196P,A+,B,B,B,A,A,3.4285714285714284,62.0
541,210597V,A,B-,A+,B+,B+,A-,3.4285714285714284,62.0
496,210547U,A-,A-,A,C+,A,B+,3.4285714285714284,62.0
156,210181P,B+,B+,A,B-,A,A-,3.4285714285714284,62.0
345,210384P,A,A-,A,C+,A,B,3.4285714285714284,62.0
275,210310M,A-,B+,B,B+,A-,A-,3.428571428571428,63.0
293,210331D,A,B,A-,B-,A,A-,3.4214285714285713,64.0
539,210595M,A,B,A,C+,A+,A,3.4214285714285713,64.0
440,210488M,A,B+,A+,C,A,A,3.4214285714285713,64.0
241,210271R,A,B,A,C+,A,A,3.4214285714285713,64.0
542,210598B,B+,A-,A-,B-,A,B+,3.4142857142857146,65.0
377,210420B,A-,A-,A,B-,B+,B+,3.4142857142857146,65.0
557,210617K,A,A-,B+,B-,A-,B+,3.4142857142857146,65.0
455,210502E,A-,B+,B-,A-,B,A,3.414285714285714,66.0
428,210475V,A,B,A+,B-,A+,B+,3.4071428571428575,67.0
195,210221P,A,B-,A,B-,A,A-,3.4,68.0
464,210512J,A,B+,A-,C+,A-,A,3.3999999999999995,69.0
226,210255X,A-,B+,A,C+,A,A-,3.3999999999999995,69.0
405,210448R,A-,B,B,A-,A-,B+,3.392857142857143,70.0
47,210051T,A-,B+,B+,B,A,B+,3.392857142857143,70.0
607,210671T,A-,B,B,A-,B+,A-,3.392857142857143,70.0
34,210036D,B-,A,B,B-,A,A,3.392857142857143,70.0
198,210225G,A,B-,A-,B+,A-,B+,3.3857142857142857,71.0
479,210530L,A,B+,A,C+,A,B+,3.3857142857142857,71.0
460,210507A,A,B,A+,B,A,B-,3.3857142857142857,71.0
161,210186K,B,A,A,C,A-,A,3.3857142857142857,71.0
36,210038K,A-,B+,A,B-,B,A,3.3857142857142857,71.0
69,210082M,A+,B+,A,C+,A,B+,3.3857142857142857,71.0
429,210476B,A-,B,A-,B,B+,A,3.3857142857142857,71.0
546,210604T,A+,B+,B-,B-,A,A,3.3857142857142857,71.0
299,210337C,B+,B,B,A-,A,B+,3.378571428571429,72.0
384,210426A,A,C+,A,B,A,A-,3.3785714285714286,73.0
426,210473M,A,B,A,C+,A-,A,3.3785714285714286,73.0
463,210511F,A-,B-,B+,A-,A-,B+,3.3714285714285714,74.0
6,210006L,B+,A,A,C,A,B+,3.3714285714285714,74.0
258,210291D,A,B+,B+,B-,A,B+,3.3714285714285714,74.0
300,210338F,B+,B-,A,B+,A,B+,3.3714285714285714,74.0
353,210393R,B-,A-,A-,B+,A,B-,3.371428571428571,75.0
481,210532U,A,B,A,B-,A-,B+,3.3642857142857143,76.0
412,210456N,A,B,B,B-,A,A,3.3642857142857143,76.0
329,210367R,B+,B,A-,B-,A,A,3.3642857142857143,76.0
486,210538T,B,A,B+,B,A,B-,3.357142857142857,77.0
487,210538T,B,A,B+,B,A,B-,3.357142857142857,77.0
286,210324J,B+,B+,A-,B,B,A+,3.35,78.0
51,210056M,B,B+,A+,B,A-,B+,3.35,78.0
641,210715J,A,B-,A,B-,A,B+,3.342857142857143,79.0
120,210139V,B,B+,A,C+,A,A,3.3428571428571425,80.0
560,210622V,A,B+,A,C+,A,B,3.3428571428571425,80.0
435,210482N,A,B+,A,C+,A-,B+,3.3428571428571425,80.0
465,210513M,A,B+,A+,C+,A,B,3.3428571428571425,80.0
434,210482N,A,B+,A,C+,A-,B+,3.3428571428571425,80.0
289,210327V,A,B,A-,B,B+,B+,3.3285714285714287,81.0
159,210184D,A,B,A+,B,B+,B,3.3285714285714287,81.0
80,210093X,C+,B+,A,B-,A,A,3.3285714285714287,81.0
575,210638B,B+,B,B+,B,A,A-,3.3285714285714287,81.0
42,210046H,B+,B,B+,B,A,A-,3.3285714285714287,81.0
99,210114P,A,B,A,C+,A,B+,3.3214285714285716,82.0
251,210283F,B,B,A,B-,A-,A,3.3214285714285716,82.0
371,210414K,A,B-,A+,C+,A,A-,3.314285714285714,83.0
462,210509G,A-,B+,A,B,B,B,3.307142857142857,84.0
586,210649J,B+,B-,B+,B,A,A,3.307142857142857,84.0
116,210136J,B,B+,A+,B,A-,B,3.307142857142857,84.0
20,210021D,A-,B-,A,B-,A,B+,3.3000000000000003,85.0
281,210318U,B,B+,A,C+,A-,A,3.3,86.0
246,210276L,A,B+,B,C+,A,A-,3.3,86.0
264,210297C,A-,A-,A-,C+,A-,B,3.3,86.0
9,210009A,A-,A-,B,C+,A-,A-,3.3,86.0
516,210569M,C+,A-,A-,B,A,B,3.292857142857143,87.0
515,210569M,C+,A-,A-,B,A,B,3.292857142857143,87.0
401,210444C,B+,C+,A+,A,B+,B,3.292857142857143,87.0
134,210154L,A-,B,A-,C+,A,A-,3.2928571428571423,88.0
495,210546P,B-,B,B+,B,A,A,3.2857142857142856,89.0
471,210519L,B+,B-,B+,B+,A-,A-,3.2857142857142856,89.0
508,210561G,B+,B-,A,B+,A,B-,3.2857142857142856,89.0
43,210048P,B-,A-,B+,C+,A,A,3.2857142857142856,89.0
70,210083R,A-,B+,A-,B-,B+,B+,3.2857142857142856,89.0
492,210543E,B,B,A-,B-,A,A-,3.2785714285714285,90.0
37,210039N,B,B,A-,B-,A-,A,3.2785714285714285,90.0
342,210381E,B+,B+,B+,B-,A,B+,3.271428571428572,91.0
544,210602K,B+,B+,A,B-,B+,B+,3.271428571428572,91.0
602,210667L,A,B-,A-,C+,A,A-,3.2714285714285714,92.0
160,210185G,A,B-,A-,B,B+,B+,3.2642857142857147,93.0
230,210260H,A,B-,B+,B,B,A,3.2642857142857147,93.0
141,210164R,A,B-,A,B,B+,B,3.2642857142857147,93.0
578,210641D,A-,A,A-,C+,B,B,3.264285714285714,94.0
642,210716M,A-,B-,A-,B-,A,B+,3.257142857142857,95.0
555,210615D,A-,B+,A,C+,A-,B,3.2571428571428567,96.0
648,210727X,A,B+,B-,B,B+,B+,3.25,97.0
25,210026X,B-,A-,B,B,A,B,3.25,97.0
91,210104K,C+,B+,B,B,A,A,3.25,97.0
279,210316L,B+,B+,B+,C+,A,A-,3.242857142857143,98.0
46,210050N,B-,B,A,B,A-,B+,3.242857142857143,98.0
362,210405J,A-,B+,A,C+,B+,B+,3.242857142857143,98.0
336,210375N,B-,A-,B-,B-,A,A-,3.242857142857143,98.0
620,210691E,A,B,A,C+,A,B-,3.2357142857142853,99.0
227,210256C,C+,A-,B-,B-,A,A,3.2285714285714286,100.0
285,210323F,B+,B+,B+,B-,A,B,3.2285714285714286,100.0
667,210821F,B+,B,A,B,B+,B,3.2285714285714286,100.0
317,210356H,B,B-,A,B+,B+,B+,3.2285714285714286,100.0
614,210684K,A,A-,B+,C,A-,B,3.2214285714285715,101.0
280,210317P,A,B-,B,B,A,B,3.2214285714285715,101.0
574,210637V,B+,B,A,C+,A,B+,3.2214285714285715,101.0
441,210489R,B+,B,A-,B-,A-,B+,3.2214285714285715,101.0
442,210489R,B+,B,A-,B-,A-,B+,3.2214285714285715,101.0
419,210464L,B+,A-,C+,B-,A,B+,3.214285714285715,102.0
294,210332G,A-,C+,A,B-,A,B+,3.214285714285715,102.0
386,210428G,A,C+,B+,B-,A,A-,3.2142857142857144,103.0
123,210142A,A-,B-,A+,C+,A,B+,3.2142857142857144,103.0
446,210494D,A-,B+,A-,C+,A-,B,3.214285714285714,104.0
40,210044B,B-,A-,B-,B,A,B,3.207142857142857,105.0
338,210377X,B,B+,B,B,A-,B+,3.207142857142857,105.0
352,210392M,B+,B+,B-,B-,A-,A-,3.1999999999999997,106.0
276,210311R,B,A-,A,C+,A-,B-,3.1999999999999997,106.0
185,210211K,B+,B+,B,B,B+,B+,3.192857142857143,107.0
107,210126E,A-,B,B,C+,A,A-,3.1928571428571426,108.0
188,210214X,B+,B+,A-,B-,B+,B,3.185714285714286,109.0
355,210395B,A-,B,B+,C+,A,B+,3.1785714285714284,110.0
548,210606C,A-,B,B,B-,A-,B+,3.1785714285714284,110.0
318,210357L,B-,A-,A,C,A,B,3.1785714285714284,110.0
630,210702R,B,B,B,B-,A,A-,3.1785714285714284,110.0
569,210632C,A,B,A-,C,A,B,3.1714285714285713,111.0
510,210564T,A-,B-,A-,B-,A+,B-,3.1714285714285713,111.0
238,210268N,A-,C+,A,B-,B+,A-,3.1714285714285713,111.0
166,210191V,C,B+,A-,B,A+,B,3.164285714285714,112.0
646,210723G,B-,B+,B,B,A-,B+,3.164285714285714,112.0
239,210269T,B+,B-,A,C+,A,B+,3.1571428571428575,113.0
256,210289E,B-,B+,A,C+,B+,A-,3.157142857142857,114.0
322,210360N,B,B+,B+,C+,A-,A-,3.157142857142857,114.0
284,210320T,A-,B+,B+,C+,B,A-,3.157142857142857,114.0
199,210226K,B+,B+,B,B,B,B+,3.15,115.0
157,210182U,A-,B,A,C+,A-,B-,3.1499999999999995,116.0
385,210427D,A,B-,B,B+,B-,B+,3.142857142857143,117.0
621,210692H,A-,B-,A-,B,B-,B+,3.135714285714286,118.0
269,210304A,B+,B+,A+,C,A,B-,3.1357142857142857,119.0
650,210729F,A,B,A+,C+,B-,B+,3.1357142857142857,119.0
8,210008U,B+,B,A,C+,A-,B,3.1357142857142857,119.0
68,210080F,A-,B,A,C+,B+,B,3.1357142857142857,119.0
389,210431J,B-,B,B,B-,A-,A,3.1357142857142857,119.0
390,210431J,B-,B,B,B-,A-,A,3.1357142857142857,119.0
144,210168H,A,B,B+,C+,A-,B,3.1357142857142857,119.0
561,210623B,B+,B,A+,C+,A-,B,3.1357142857142857,119.0
433,210481K,A-,A-,B+,B-,C+,B,3.128571428571429,120.0
350,210389K,B+,B-,A-,C+,A-,A-,3.1285714285714286,121.0
270,210305D,A-,B-,A+,C+,A,B-,3.1285714285714286,121.0
400,210443X,A,C+,B,B-,B+,A,3.1142857142857143,122.0
583,210646X,A,B-,A,C+,B+,B,3.1142857142857143,122.0
580,210643K,B,B-,B+,B-,A-,A-,3.1142857142857143,122.0
240,210270M,A-,B+,B,B-,A-,C+,3.1,123.0
254,210286R,B+,B+,B,C+,A-,B+,3.1,123.0
115,210135F,A-,B,B+,C+,A,B-,3.0928571428571425,124.0
416,210461B,B-,B,B+,C+,A,A-,3.0928571428571425,124.0
540,210596R,B+,B-,A,C-,A,A-,3.085714285714286,125.0
277,210312V,C+,A-,A-,B-,A-,C+,3.085714285714286,125.0
7,210007P,B+,C+,A,C+,A-,A-,3.0857142857142854,126.0
109,210128L,A,C+,B-,B-,A-,A-,3.0857142857142854,126.0
366,210409B,B,B,A-,B-,B+,B,3.0785714285714287,127.0
231,210261L,B,B,A,C+,B+,B+,3.0785714285714287,127.0
214,210241C,A-,B,B,B-,B+,B,3.0785714285714287,127.0
556,210616G,A-,B-,B+,C+,B+,A-,3.0714285714285716,128.0
266,210300H,A,B-,C+,C+,A,A-,3.0714285714285716,128.0
581,210643K,B-,B-,B+,B-,A-,A-,3.0714285714285716,128.0
108,210127H,A-,B-,B-,B-,A,B,3.0714285714285716,128.0
458,210505P,B,B+,B,B,B+,B-,3.064285714285714,129.0
452,210499X,A-,B-,A,C,A-,B,3.064285714285714,129.0
200,210227N,B,B,B,C+,A-,A-,3.05,130.0
262,210295T,A-,B,C+,C+,A-,A-,3.05,130.0
582,210645T,B,B,A,C+,A-,B-,3.05,130.0
658,210738G,B-,B+,A,B-,B+,C+,3.042857142857143,131.0
640,210713C,A,B+,B,B-,B,C+,3.042857142857143,131.0
310,210348K,B+,C+,A-,C+,A-,A-,3.0428571428571423,132.0
209,210235L,C+,C+,B,B,A,A,3.0357142857142856,133.0
208,210235L,C+,C+,B,B,A,A,3.0357142857142856,133.0
381,210423L,B+,B,B+,C+,A-,B,3.0357142857142856,133.0
490,210541V,C+,B,A,B-,A-,B-,3.0357142857142856,133.0
117,210137M,B,B-,A-,B-,A-,B-,3.0285714285714285,134.0
488,210539X,A,C+,B-,B-,B+,A-,3.0285714285714285,134.0
341,210380B,A-,B-,C+,C+,A,A-,3.0285714285714285,134.0
217,210244M,B-,B+,B,B,B,B,3.0214285714285714,135.0
319,210358P,A-,C+,B+,B-,B+,B+,3.0142857142857147,136.0
125,210145K,B,B+,A-,C+,A,C,3.014285714285714,137.0
12,210012C,B-,B+,A+,C,A,C+,2.992857142857143,138.0
19,210020A,B,B,B,C+,A,B,2.992857142857143,138.0
398,210441N,B+,C+,A-,C+,B+,A-,2.9857142857142853,139.0
587,210650E,A,B-,B-,C+,B+,B+,2.9714285714285715,140.0
373,210416T,B,B-,B+,C+,A-,B+,2.9714285714285715,140.0
79,210091N,C+,B,B+,C,A-,A,2.9714285714285715,140.0
92,210105N,B-,B-,B+,C+,A,B+,2.9714285714285715,140.0
404,210447M,B-,B-,B+,B-,B,A-,2.9714285714285715,140.0
71,210084V,B,C+,B+,B-,A-,B+,2.9714285714285715,140.0
397,210440K,B,B+,A-,C+,B-,B,2.971428571428571,141.0
320,210359U,B+,C+,B+,B-,B+,B+,2.9571428571428577,142.0
321,210359U,B+,C+,B+,B-,B+,B+,2.9571428571428577,142.0
503,210555R,B-,B,C+,B,A,B-,2.957142857142857,143.0
292,210330A,A-,C+,B-,B,B,B+,2.95,144.0
525,210582V,B,B,B,C+,B,A-,2.9499999999999997,145.0
520,210576G,B,C+,B-,A,B-,B-,2.9357142857142855,146.0
128,210148X,B,B,B-,C,A,B+,2.9285714285714284,147.0
113,210132T,C,B,A,C,A,B,2.9285714285714284,147.0
466,210514R,B,B,B+,B-,C+,B+,2.9214285714285717,148.0
103,210118G,C+,B,B+,B-,B+,B,2.9214285714285713,149.0
201,210228T,B,B,B+,B-,B-,B-,2.892857142857143,150.0
528,210584E,B-,B,A,B-,B-,C+,2.892857142857143,150.0
358,210399P,B-,B,A,C,B,B,2.8857142857142857,151.0
368,210411A,A,C,A-,C+,C+,A-,2.8785714285714286,152.0
664,210747H,C+,B,A-,C-,A-,B+,2.8642857142857143,153.0
497,210548A,C+,B,B,B+,B+,C,2.8642857142857143,153.0
572,210635M,B,B-,B+,C,A,B-,2.8642857142857143,153.0
449,210496K,B-,C-,A,B-,B,A-,2.857142857142857,154.0
663,210743R,B+,C,B+,B-,B+,B,2.85,155.0
39,210042R,C+,B-,B+,C,A,B+,2.85,155.0
273,210308N,C,B,A-,C+,B,B+,2.85,155.0
255,210288B,A-,C+,A,C,B-,B,2.835714285714286,156.0
1,200620E,B+,A-,B,C,C,B,2.835714285714286,156.0
163,210188T,C+,B,A,C,B+,B-,2.8285714285714287,157.0
521,210578N,A,C+,B-,B-,B+,C+,2.8285714285714287,157.0
64,210073L,A-,C+,B+,C+,B-,B,2.8,158.0
395,210438L,B,B,B+,C,B,B-,2.7857142857142856,159.0
475,210524X,C,C,A-,B-,A-,B,2.7785714285714285,160.0
349,210388G,A-,C,A-,C+,C+,B+,2.7785714285714285,160.0
31,210032L,B+,B,B+,C,C+,B,2.7714285714285714,161.0
32,210033P,B,C+,B+,B,B-,C+,2.75,162.0
323,210361T,C+,B+,C+,C,A-,B,2.75,162.0
570,210633F,C+,B,B-,C,A-,B,2.742857142857143,163.0
65,210074P,B-,C+,A,C,B+,B-,2.7357142857142853,164.0
204,210231V,A-,B-,B,C,B-,B-,2.7357142857142853,164.0
127,210147T,B,C+,C+,B-,A,C+,2.7285714285714286,165.0
388,210430F,C+,B-,B,C+,B+,B,2.7285714285714286,165.0
290,210328B,B+,C,C+,B-,A-,B-,2.7214285714285715,166.0
72,210085B,C+,B-,B,B-,C+,B+,2.714285714285715,167.0
