Index_Number,CE1023,,CS1033,,EE1040,,MA1014,,ME1033,,MT1023,,SGPA,Rank,,,,,,,,,
,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,,,,,,,,,,,
210281X,A-,3.7,I-we,0,B-,2.7,,,,,A-,3.7,2.2444,711,,,,,,,,,
210282C,A+,4,B+,3.3,A,4,,,,,B+,3.3,3.6111,372,,,,,,,,,
210283F,A,4,B,3,A,4,,,,,A-,3.7,3.6000,389,,,,,,,,,
210284J,B+,3.3,A-,3.7,A,4,,,,,A,4,3.7444,296,,,,,,,,,
210285M,A+,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210286R,B,3,B+,3.3,B+,3.3,,,,,A-,3.7,3.3222,521,,,,,,,,,
210287V,A-,3.7,C,2,B-,2.7,,,,,B-,2.7,2.6889,671,,,,,,,,,
210288B,A,4,C+,2.3,B,3,,,,,B-,2.7,2.9222,633,,,,,,,,,
210289E,A,4,B+,3.3,A-,3.7,,,,,B+,3.3,3.5444,402,,,,,,,,,
210290A,A+,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210291D,B+,3.3,B+,3.3,B+,3.3,,,,,A,4,3.4556,457,,,,,,,,,
210292G,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210293K,A+,4,A,4,B+,3.3,,,,,A-,3.7,3.7778,244,,,,,,,,,
210294N,A+,4,A-,3.7,A,4,,,,,A-,3.7,3.8333,214,,,,,,,,,
210295T,C+,2.3,B,3,A-,3.7,,,,,A-,3.7,3.1556,587,,,,,,,,,
210296X,A+,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210297C,A-,3.7,A-,3.7,B,3,,,,,A-,3.7,3.5444,402,,,,,,,,,
210298F,B+,3.3,B-,2.7,B-,2.7,,,,,B,3,2.9000,635,,,,,,,,,
210299J,A-,3.7,A-,3.7,A,4,,,,,A-,3.7,3.7667,263,,,,,,,,,
210300H,C+,2.3,B-,2.7,A-,3.7,,,,,A,4,3.1222,593,,,,,,,,,
210301L,A,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210302P,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210303U,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210304A,A+,4,B+,3.3,B-,2.7,,,,,A,4,3.4778,445,,,,,,,,,
210305D,A+,4,B-,2.7,B-,2.7,,,,,A,4,3.2778,540,,,,,,,,,
210306G,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210307K,A,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210308N,A-,3.7,B,3,B+,3.3,,,,,B,3,3.2222,558,,,,,,,,,
210309T,B+,3.3,B+,3.3,B+,3.3,,,,,A-,3.7,3.3889,493,,,,,,,,,
210310M,B,3,B+,3.3,A-,3.7,,,,,A-,3.7,3.4111,490,,,,,,,,,
210311R,A,4,A-,3.7,B-,2.7,,,,,A-,3.7,3.5444,402,,,,,,,,,
210312V,A-,3.7,A-,3.7,C+,2.3,,,,,A-,3.7,3.3889,493,,,,,,,,,
210313B,A,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210314E,A-,3.7,A,4,B,3,,,,,A+,4,3.7111,312,,,,,,,,,
210315H,A-,3.7,B+,3.3,A,4,,,,,A-,3.7,3.6333,363,,,,,,,,,
210316L,B+,3.3,B+,3.3,A-,3.7,,,,,A,4,3.5444,402,,,,,,,,,
210317P,B,3,B-,2.7,B,3,,,,,A,4,3.1222,593,,,,,,,,,
210318U,A,4,B+,3.3,A,4,,,,,A-,3.7,3.7000,316,,,,,,,,,
210319A,B,3,C,2,A,4,,,,,B+,3.3,2.9556,627,,,,,,,,,
210320T,B+,3.3,B+,3.3,A-,3.7,,,,,B,3,3.3222,521,,,,,,,,,
210321X,A+,4,A-,3.7,A+,4,,,,,A,4,3.9000,156,,,,,,,,,
210322C,C+,2.3,B,3,B-,2.7,,,,,B,3,2.7778,659,,,,,,,,,
210323F,B+,3.3,B+,3.3,B,3,,,,,A,4,3.3889,493,,,,,,,,,
210324J,A-,3.7,B+,3.3,A+,4,,,,,B,3,3.4778,445,,,,,,,,,
210325M,A,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210326R,B+,3.3,A-,3.7,B+,3.3,,,,,A-,3.7,3.5222,428,,,,,,,,,
210327V,A-,3.7,B,3,B+,3.3,,,,,B+,3.3,3.2889,535,,,,,,,,,
210328B,C+,2.3,C,2,B-,2.7,,,,,A-,3.7,2.6000,687,,,,,,,,,
210329E,A-,3.7,A,4,A,4,,,,,A,4,3.9333,121,,,,,,,,,
210330A,B-,2.7,C+,2.3,B+,3.3,,,,,B,3,2.7667,660,,,,,,,,,
210331D,A-,3.7,B,3,A-,3.7,,,,,A,4,3.5333,420,,,,,,,,,
210332G,A,4,C+,2.3,B+,3.3,,,,,A,4,3.2778,540,,,,,,,,,
210333K,A-,3.7,A-,3.7,B,3,,,,,B+,3.3,3.4556,457,,,,,,,,,
210334N,A-,3.7,B+,3.3,A,4,,,,,A-,3.7,3.6333,363,,,,,,,,,
210335T,A+,4,A,4,B,3,,,,,A,4,3.7778,244,,,,,,,,,
210337C,B,3,B,3,B+,3.3,,,,,A,4,3.2889,535,,,,,,,,,
210338F,A,4,B-,2.7,B+,3.3,,,,,A,4,3.4111,483,,,,,,,,,
210339J,A,4,B,3,A,4,,,,,A,4,3.6667,354,,,,,,,,,
210340E,A,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210341H,A,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210342L,A-,3.7,A,4,B,3,,,,,A,4,3.7111,312,,,,,,,,,
210343P,A+,4,A+,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210344U,A-,3.7,A,4,A-,3.7,,,,,A,4,3.8667,195,,,,,,,,,
210345A,A-,3.7,C,2,B-,2.7,,,,,B+,3.3,2.8222,650,,,,,,,,,
210346D,A,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210347G,B-,2.7,C,2,B,3,,,,,C+,2.3,2.4444,698,,,,,,,,,
210348K,A-,3.7,C+,2.3,A-,3.7,,,,,A-,3.7,3.2333,554,,,,,,,,,
210349N,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210350J,A-,3.7,A,4,A,4,,,,,A,4,3.9333,121,,,,,,,,,
210351M,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210352R,A,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210353V,A,4,B+,3.3,A,4,,,,,A-,3.7,3.7000,316,,,,,,,,,
210354B,B+,3.3,C+,2.3,B,3,,,,,C,2,2.6111,681,,,,,,,,,
210355E,A-,3.7,B+,3.3,A-,3.7,,,,,A+,4,3.6333,363,,,,,,,,,
210356H,A,4,B-,2.7,B+,3.3,,,,,B+,3.3,3.2556,548,,,,,,,,,
210357L,A,4,A-,3.7,B,3,,,,,A,4,3.6778,341,,,,,,,,,
210358P,B+,3.3,C+,2.3,B+,3.3,,,,,B+,3.3,2.9667,622,,,,,,,,,
210359U,B+,3.3,C+,2.3,B+,3.3,,,,,B+,3.3,2.9667,622,,,,,,,,,
210360N,B+,3.3,B+,3.3,A-,3.7,,,,,A-,3.7,3.4778,445,,,,,,,,,
210361T,C+,2.3,B+,3.3,B,3,,,,,A-,3.7,3.1000,601,,,,,,,,,
210362X,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210363C,B,3,A,4,A,4,,,,,A,4,3.7778,244,,,,,,,,,
210364F,A+,4,A-,3.7,A,4,,,,,A-,3.7,3.8333,214,,,,,,,,,
210365J,A-,3.7,B+,3.3,A,4,,,,,A,4,3.7000,316,,,,,,,,,
210366M,C+,2.3,I-we,0,I-we,0,,,,,C-,1.7,0.8889,735,,,,,,,,,
210367R,A-,3.7,B,3,A,4,,,,,A,4,3.6000,389,,,,,,,,,
210368V,A+,4,A-,3.7,A,4,,,,,A-,3.7,3.8333,214,,,,,,,,,
210369B,A+,4,A-,3.7,B-,2.7,,,,,B+,3.3,3.4556,457,,,,,,,,,
210370U,A-,3.7,C+,2.3,C,2,,,,,B,3,2.7000,670,,,,,,,,,
210371A,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210372D,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210373G,A,4,A,4,B+,3.3,,,,,A,4,3.8444,199,,,,,,,,,
210374K,B+,3.3,B+,3.3,A-,3.7,,,,,A,4,3.5444,402,,,,,,,,,
210375N,B-,2.7,A-,3.7,A-,3.7,,,,,A,4,3.5444,402,,,,,,,,,
210376T,A,4,B+,3.3,A,4,,,,,A+,4,3.7667,263,,,,,,,,,
210377X,B,3,B+,3.3,B+,3.3,,,,,A-,3.7,3.3222,521,,,,,,,,,
210378C,I-we,0,B+,3.3,C,2,,,,,C+,2.3,2.0556,719,,,,,,,,,
210379F,A-,3.7,B-,2.7,C+,2.3,,,,,B-,2.7,2.8333,642,,,,,,,,,
210380B,C+,2.3,B-,2.7,A-,3.7,,,,,A,4,3.1222,593,,,,,,,,,
210381E,B+,3.3,B+,3.3,B+,3.3,,,,,A,4,3.4556,457,,,,,,,,,
210382H,A,4,B,3,A-,3.7,,,,,A-,3.7,3.5333,420,,,,,,,,,
210383L,A,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210384P,A,4,A-,3.7,B,3,,,,,A,4,3.6778,341,,,,,,,,,
210385U,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210386A,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210387D,A,4,A-,3.7,A+,4,,,,,A,4,3.9000,156,,,,,,,,,
210388G,A-,3.7,C,2,B+,3.3,,,,,C+,2.3,2.7333,667,,,,,,,,,
210389K,A-,3.7,B-,2.7,A-,3.7,,,,,A-,3.7,3.3667,512,,,,,,,,,
210390F,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210391J,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210392M,B-,2.7,B+,3.3,A-,3.7,,,,,A-,3.7,3.3444,517,,,,,,,,,
210393R,A-,3.7,A-,3.7,B-,2.7,,,,,A,4,3.5444,402,,,,,,,,,
210394V,A-,3.7,B+,3.3,A-,3.7,,,,,A-,3.7,3.5667,400,,,,,,,,,
210395B,B+,3.3,B,3,B+,3.3,,,,,A,4,3.3556,516,,,,,,,,,
210396E,A,4,B,3,A,4,,,,,A+,4,3.6667,354,,,,,,,,,
210397H,B+,3.3,B-,2.7,C+,2.3,,,,,B-,2.7,2.7444,664,,,,,,,,,
210398L,A+,4,B,3,A,4,,,,,A-,3.7,3.6000,389,,,,,,,,,
210399P,A,4,B,3,B,3,,,,,B,3,3.2222,558,,,,,,,,,
210400N,A,4,A-,3.7,A-,3.7,,,,,A-,3.7,3.7667,263,,,,,,,,,
210401T,A+,4,A-,3.7,A-,3.7,,,,,A-,3.7,3.7667,263,,,,,,,,,
210402X,A,4,B,3,A-,3.7,,,,,B+,3.3,3.4444,468,,,,,,,,,
210403C,B+,3.3,A-,3.7,B-,2.7,,,,,A-,3.7,3.3889,493,,,,,,,,,
210404F,A+,4,A+,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210405J,A,4,B+,3.3,B+,3.3,,,,,B+,3.3,3.4556,457,,,,,,,,,
210406M,B+,3.3,A,4,A,4,,,,,A,4,3.8444,199,,,,,,,,,
210407R,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210408V,A,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210409B,A-,3.7,B,3,B,3,,,,,B+,3.3,3.2222,558,,,,,,,,,
210410U,I-we,0,B,3,B+,3.3,,,,,C+,2.3,2.2444,712,,,,,,,,,
210411A,A-,3.7,C,2,A-,3.7,,,,,C+,2.3,2.8222,650,,,,,,,,,
210412D,A,4,B+,3.3,B+,3.3,,,,,A,4,3.6111,372,,,,,,,,,
210413G,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210414K,A+,4,B-,2.7,A-,3.7,,,,,A,4,3.5000,439,,,,,,,,,
210415N,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210416T,B+,3.3,B-,2.7,B+,3.3,,,,,A-,3.7,3.1889,577,,,,,,,,,
210417X,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210418C,A,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210419F,A,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210420B,A,4,A-,3.7,B+,3.3,,,,,B+,3.3,3.5889,398,,,,,,,,,
210421E,A+,4,A-,3.7,A,4,,,,,A+,4,3.9000,156,,,,,,,,,
210422H,B,3,A,4,A,4,,,,,A,4,3.7778,244,,,,,,,,,
210423L,B+,3.3,B,3,B,3,,,,,A-,3.7,3.2222,558,,,,,,,,,
210424P,B-,2.7,C+,2.3,B-,2.7,,,,,B,3,2.6333,677,,,,,,,,,
210425U,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210426A,A,4,C+,2.3,A-,3.7,,,,,A,4,3.3667,514,,,,,,,,,
210427D,B,3,B-,2.7,B+,3.3,,,,,B-,2.7,2.9000,635,,,,,,,,,
210428G,B+,3.3,C+,2.3,A-,3.7,,,,,A,4,3.2111,573,,,,,,,,,
210429K,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210430F,B,3,B-,2.7,B,3,,,,,B+,3.3,2.9667,622,,,,,,,,,
210431J,B,3,B,3,A,4,,,,,A-,3.7,3.3778,501,,,,,,,,,
210432M,A,4,I-ca,0,A-,3.7,,,,,A,4,2.6000,687,,,,,,,,,
210433R,A,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210434V,A,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210435B,A,4,B+,3.3,A,4,,,,,A-,3.7,3.7000,316,,,,,,,,,
210436E,A,4,A,4,B,3,,,,,A+,4,3.7778,244,,,,,,,,,
210437H,A,4,B,3,B+,3.3,,,,,A,4,3.5111,431,,,,,,,,,
210438L,B+,3.3,B,3,B-,2.7,,,,,B,3,3.0000,616,,,,,,,,,
210439P,A,4,B-,2.7,A,4,,,,,A-,3.7,3.5000,439,,,,,,,,,
210440K,A-,3.7,B+,3.3,B,3,,,,,B-,2.7,3.1889,584,,,,,,,,,
210441N,A-,3.7,C+,2.3,A-,3.7,,,,,B+,3.3,3.1444,589,,,,,,,,,
210442T,A,4,B+,3.3,A-,3.7,,,,,A-,3.7,3.6333,363,,,,,,,,,
210443X,B,3,C+,2.3,A,4,,,,,B+,3.3,3.0556,608,,,,,,,,,
210444C,A+,4,C+,2.3,B,3,,,,,B+,3.3,3.0556,608,,,,,,,,,
210445F,A+,4,B+,3.3,B+,3.3,,,,,A,4,3.6111,372,,,,,,,,,
210446J,A,4,A+,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210447M,B+,3.3,B-,2.7,A-,3.7,,,,,B,3,3.1222,593,,,,,,,,,
210448R,B,3,B,3,B+,3.3,,,,,A-,3.7,3.2222,558,,,,,,,,,
210449V,A,4,B+,3.3,B,3,,,,,A,4,3.5444,402,,,,,,,,,
210450P,A+,4,A-,3.7,A+,4,,,,,A,4,3.9000,156,,,,,,,,,
210451U,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210452A,A,4,A-,3.7,A-,3.7,,,,,B,3,3.6111,372,,,,,,,,,
210453D,A,4,A,4,A-,3.7,,,,,A+,4,3.9333,121,,,,,,,,,
210454G,A,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210455K,I-we,0,B-,2.7,A,4,,,,,B+,3.3,2.5222,693,,,,,,,,,
210456N,B,3,B,3,A,4,,,,,A,4,3.4444,468,,,,,,,,,
210457T,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210458X,B+,3.3,C+,2.3,C+,2.3,,,,,C,2,2.4556,697,,,,,,,,,
210459C,B+,3.3,C+,2.3,B-,2.7,,,,,B+,3.3,2.8333,642,,,,,,,,,
210460V,A-,3.7,A-,3.7,A-,3.7,,,,,A,4,3.7667,263,,,,,,,,,
210461B,B+,3.3,B,3,A-,3.7,,,,,A,4,3.4444,468,,,,,,,,,
210462E,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210463H,A,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210464L,C+,2.3,A-,3.7,B+,3.3,,,,,A,4,3.3667,513,,,,,,,,,
210465P,A+,4,A+,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210466U,A,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210467A,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210468D,A+,4,C,2,A,4,,,,,A,4,3.3333,520,,,,,,,,,
210469G,A+,4,B+,3.3,A+,4,,,,,A,4,3.7667,263,,,,,,,,,
210470C,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210471F,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210472J,A+,4,A+,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210473M,A,4,B,3,A,4,,,,,A-,3.7,3.6000,389,,,,,,,,,
210474R,B+,3.3,A,4,A+,4,,,,,A,4,3.8444,199,,,,,,,,,
210475V,A+,4,B,3,B+,3.3,,,,,A+,4,3.5111,431,,,,,,,,,
210476B,A-,3.7,B,3,A,4,,,,,B+,3.3,3.4444,468,,,,,,,,,
210477E,B,3,C-,1.7,B-,2.7,,,,,C,2,2.2778,707,,,,,,,,,
210478H,I-we,0,C,2,C+,2.3,,,,,C-,1.7,1.5556,729,,,,,,,,,
210479L,A+,4,A+,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210480G,B+,3.3,B,3,A-,3.7,,,,,A,4,3.4444,468,,,,,,,,,
210481K,B+,3.3,A-,3.7,B,3,,,,,C+,2.3,3.1444,589,,,,,,,,,
210482N,A,4,B+,3.3,B+,3.3,,,,,A-,3.7,3.5444,402,,,,,,,,,
210483T,A-,3.7,A-,3.7,A-,3.7,,,,,A,4,3.7667,263,,,,,,,,,
210484X,A,4,B,3,A-,3.7,,,,,A,4,3.6000,389,,,,,,,,,
210485C,A,4,A,4,A-,3.7,,,,,B+,3.3,3.7778,244,,,,,,,,,
210486F,B+,3.3,A,4,A-,3.7,,,,,A-,3.7,3.7111,312,,,,,,,,,
210487J,A,4,B+,3.3,B-,2.7,,,,,A-,3.7,3.4111,490,,,,,,,,,
210488M,A+,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210489R,A-,3.7,B,3,B+,3.3,,,,,A-,3.7,3.3778,501,,,,,,,,,
210490L,A-,3.7,A,4,A,4,,,,,A,4,3.9333,121,,,,,,,,,
210491P,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210492U,C+,2.3,B-,2.7,C+,2.3,,,,,B-,2.7,2.5222,693,,,,,,,,,
210493A,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210494D,A-,3.7,B+,3.3,B,3,,,,,A-,3.7,3.4111,490,,,,,,,,,
210495G,A,4,B+,3.3,B+,3.3,,,,,A,4,3.6111,372,,,,,,,,,
210496K,A,4,C-,1.7,A-,3.7,,,,,B,3,2.9444,628,,,,,,,,,
210497N,C+,2.3,C-,1.7,C,2,,,,,B-,2.7,2.1222,718,,,,,,,,,
210498T,A+,4,A-,3.7,A,4,,,,,A+,4,3.9000,156,,,,,,,,,
210499X,A,4,B-,2.7,B,3,,,,,A-,3.7,3.2778,540,,,,,,,,,
210500V,A,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210501B,A,4,B+,3.3,A,4,,,,,A-,3.7,3.7000,316,,,,,,,,,
210502E,B-,2.7,B+,3.3,A,4,,,,,B,3,3.2556,551,,,,,,,,,
210503H,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210504L,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210505P,B,3,B+,3.3,B-,2.7,,,,,B+,3.3,3.1000,601,,,,,,,,,
210506U,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210507A,A+,4,B,3,B-,2.7,,,,,A,4,3.3778,501,,,,,,,,,
210508D,A+,4,A+,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210509G,A,4,B+,3.3,B,3,,,,,B,3,3.3222,521,,,,,,,,,
210510C,B+,3.3,C,2,B-,2.7,,,,,B,3,2.6667,674,,,,,,,,,
210511F,B+,3.3,B-,2.7,B+,3.3,,,,,A-,3.7,3.1889,577,,,,,,,,,
210512J,A-,3.7,B+,3.3,A,4,,,,,A-,3.7,3.6333,363,,,,,,,,,
210513M,A+,4,B+,3.3,B,3,,,,,A,4,3.5444,402,,,,,,,,,
210514R,B+,3.3,B,3,B+,3.3,,,,,C+,2.3,2.9778,620,,,,,,,,,
210515V,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210516B,C,2,I-we,0,C+,2.3,,,,,C-,1.7,1.3333,730,,,,,,,,,
210517E,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210518H,A,4,A-,3.7,A+,4,,,,,A,4,3.9000,156,,,,,,,,,
210519L,B+,3.3,B-,2.7,A-,3.7,,,,,A-,3.7,3.2778,540,,,,,,,,,
210520G,A-,3.7,A,4,B+,3.3,,,,,A+,4,3.7778,244,,,,,,,,,
210521K,B+,3.3,A,4,B,3,,,,,A,4,3.6222,369,,,,,,,,,
210522N,B+,3.3,B+,3.3,A,4,,,,,B-,2.7,3.3222,521,,,,,,,,,
210523T,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210524X,A-,3.7,C,2,B,3,,,,,A-,3.7,2.9778,620,,,,,,,,,
210525C,B,3,B,3,B,3,,,,,A,4,3.2222,558,,,,,,,,,
210527J,A-,3.7,B,3,A,4,,,,,A-,3.7,3.5333,420,,,,,,,,,
210528M,A-,3.7,B+,3.3,A,4,,,,,B,3,3.4778,445,,,,,,,,,
210529R,A-,3.7,B-,2.7,C+,2.3,,,,,A,4,3.1222,593,,,,,,,,,
210530L,A,4,B+,3.3,B+,3.3,,,,,A,4,3.6111,372,,,,,,,,,
210531P,B-,2.7,A-,3.7,A,4,,,,,A,4,3.6111,372,,,,,,,,,
210532U,A,4,B,3,B+,3.3,,,,,A-,3.7,3.4444,468,,,,,,,,,
210533A,B,3,B-,2.7,C+,2.3,,,,,B,3,2.7444,664,,,,,,,,,
210534D,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210535G,A+,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210536K,A+,4,A+,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210537N,A-,3.7,A,4,A,4,,,,,A,4,3.9333,121,,,,,,,,,
210538T,B+,3.3,A,4,B-,2.7,,,,,A,4,3.5556,401,,,,,,,,,
210539X,B-,2.7,C+,2.3,A-,3.7,,,,,B+,3.3,2.9222,632,,,,,,,,,
210540R,A-,3.7,I-we,0,B,3,,,,,B+,3.3,2.2222,714,,,,,,,,,
210541V,A,4,B,3,B-,2.7,,,,,A-,3.7,3.3111,529,,,,,,,,,
210542B,A+,4,A+,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210543E,A-,3.7,B,3,A-,3.7,,,,,A,4,3.5333,420,,,,,,,,,
210544H,I-we,0,C+,2.3,B-,2.7,,,,,B-,2.7,1.9667,722,,,,,,,,,
210545L,A+,4,B,3,A,4,,,,,A-,3.7,3.6000,389,,,,,,,,,
210546P,B+,3.3,B,3,A,4,,,,,A,4,3.5111,431,,,,,,,,,
210547U,A,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210548A,B,3,B,3,C,2,,,,,B+,3.3,2.8444,641,,,,,,,,,
210549D,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210550X,B-,2.7,B-,2.7,B,3,,,,,B+,3.3,2.9000,635,,,,,,,,,
210551C,C+,2.3,B,3,B-,2.7,,,,,C+,2.3,2.6222,680,,,,,,,,,
210552F,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210553J,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210554M,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210555R,C+,2.3,B,3,B-,2.7,,,,,A,4,3.0000,616,,,,,,,,,
210556V,B+,3.3,B-,2.7,C+,2.3,,,,,B,3,2.8111,653,,,,,,,,,
210557B,A-,3.7,A-,3.7,A+,4,,,,,A,4,3.8333,214,,,,,,,,,
210558E,C+,2.3,C+,2.3,B-,2.7,,,,,B+,3.3,2.6111,681,,,,,,,,,
210559H,A+,4,A-,3.7,A,4,,,,,A-,3.7,3.8333,214,,,,,,,,,
210560D,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210561G,A,4,B-,2.7,B-,2.7,,,,,A,4,3.2778,540,,,,,,,,,
210562K,A,4,B+,3.3,A,4,,,,,A+,4,3.7667,263,,,,,,,,,
210563N,A-,3.7,B+,3.3,A,4,,,,,I-ca,0,2.8111,654,,,,,,,,,
210564T,A-,3.7,B-,2.7,B-,2.7,,,,,A+,4,3.2111,572,,,,,,,,,
210565X,A,4,B+,3.3,A,4,,,,,A-,3.7,3.7000,316,,,,,,,,,
210566C,B-,2.7,C-,1.7,I-we,0,,,,,B-,2.7,1.7667,727,,,,,,,,,
210567F,A+,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210568J,B,3,A,4,A-,3.7,,,,,A-,3.7,3.6444,362,,,,,,,,,
210569M,A-,3.7,A-,3.7,B,3,,,,,A,4,3.6111,372,,,,,,,,,
210570H,B,3,C+,2.3,C+,2.3,,,,,D,1,2.1667,716,,,,,,,,,
210571L,A-,3.7,A,4,A-,3.7,,,,,A,4,3.8667,195,,,,,,,,,
210572P,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210573U,A-,3.7,C-,1.7,B-,2.7,,,,,B,3,2.6556,676,,,,,,,,,
210574A,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210575D,A,4,B+,3.3,A-,3.7,,,,,A+,4,3.7000,316,,,,,,,,,
210576G,B-,2.7,C+,2.3,B-,2.7,,,,,B-,2.7,2.5667,691,,,,,,,,,
210577K,A-,3.7,A+,4,A+,4,,,,,A+,4,3.9333,121,,,,,,,,,
210578N,B-,2.7,C+,2.3,C+,2.3,,,,,B+,3.3,2.6111,681,,,,,,,,,
210579T,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210580M,A,4,A,4,B-,2.7,,,,,A,4,3.7111,312,,,,,,,,,
210581R,A,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210582V,B,3,B,3,A-,3.7,,,,,B,3,3.1556,587,,,,,,,,,
210583B,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210584E,A,4,B,3,C+,2.3,,,,,B-,2.7,3.0000,616,,,,,,,,,
