Index_Number,CE1023,,CS1033,,EE1040,,MA1014,,ME1033,,MT1023,,SGPA,Rank,,,,,,,,,
,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,,,,,,,,,,,
210063G,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210064K,B+,3.3,C-,1.7,C,2,,,,,B+,3.3,2.4778,696,,,,,,,,,
210065N,A+,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210066T,B+,3.3,A-,3.7,A-,3.7,,,,,A-,3.7,3.6111,372,,,,,,,,,
210067X,A+,4,B,3,A,4,,,,,A,4,3.6667,354,,,,,,,,,
210068C,A,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210069F,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210070B,A-,3.7,C+,2.3,C+,2.3,,,,,B+,3.3,2.8333,642,,,,,,,,,
210071E,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210073L,B+,3.3,C+,2.3,B,3,,,,,B-,2.7,2.7667,660,,,,,,,,,
210074P,A,4,C+,2.3,B-,2.7,,,,,B+,3.3,2.9889,619,,,,,,,,,
210075U,B+,3.3,B+,3.3,B-,2.7,,,,,A-,3.7,3.2556,551,,,,,,,,,
210076A,B,3,A-,3.7,B-,2.7,,,,,A-,3.7,3.3222,521,,,,,,,,,
210077D,A+,4,A+,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210078G,A,4,C+,2.3,B,3,,,,,A,4,3.2111,573,,,,,,,,,
210079K,A,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210080F,A,4,B,3,B,3,,,,,B+,3.3,3.2889,535,,,,,,,,,
210081J,A,4,A,4,B,3,,,,,A+,4,3.7778,244,,,,,,,,,
210082M,A,4,B+,3.3,B+,3.3,,,,,A,4,3.6111,372,,,,,,,,,
210083R,A-,3.7,B+,3.3,B+,3.3,,,,,B+,3.3,3.3889,493,,,,,,,,,
210084V,B+,3.3,C+,2.3,B+,3.3,,,,,A-,3.7,3.0556,608,,,,,,,,,
210085B,B,3,B-,2.7,B+,3.3,,,,,C+,2.3,2.8111,652,,,,,,,,,
210086E,A,4,A,4,A-,3.7,,,,,B+,3.3,3.7778,244,,,,,,,,,
210087H,A+,4,A-,3.7,B,3,,,,,A-,3.7,3.6111,372,,,,,,,,,
210088L,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210089P,A,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210090K,A,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210091N,B+,3.3,B,3,A,4,,,,,A-,3.7,3.4444,468,,,,,,,,,
210092T,B,3,B,3,A-,3.7,,,,,B-,2.7,3.0889,605,,,,,,,,,
210093X,A,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210094C,C+,2.3,C+,2.3,B-,2.7,,,,,B+,3.3,2.6111,681,,,,,,,,,
210095F,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
